videoId,title,channelTitle,viewCount,snapshot_at_utc,title_len_chars,title_word_count,english_ratio,has_number,punctuation_count,top_keyword_素人,top_keyword_Alter,top_keyword_ego,top_keyword_Rosehip,top_keyword_tea,top_keyword_へ,top_keyword_2,top_keyword_MV,top_keyword_Tamamono,top_keyword_Orchestra,top_keyword_Version,top_keyword_Hearts,top_keyword_パラノイドランデブー,top_keyword_Short,top_keyword_ver,top_keyword_of,top_keyword_The,top_keyword_My,top_keyword_Official,top_keyword_の
sPLqsLsooJY,"米津玄師, 宇多田ヒカル Kenshi Yonezu, Hikaru Utada -  JANE DOE",Kenshi Yonezu  米津玄師,3939359,,52,9,0.5769,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lwlw0ChiSR0,Forza Horizon 6 - Official Teaser Trailer | Tokyo Game Show 2025,Forza,849959,,64,10,0.7188,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
P6p3pos_54g,【公式】『ポケポケ』拡張パック「ハイクラスパックex」,ポケモン公式YouTubeチャンネル,459524,,27,6,0.0741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kW5Wq-W_Kpc,STARGLOW / Moonchaser -Behind The Scenes-,STARGLOW Official,175393,,41,5,0.8049,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ITKHKz_UVjE,＜TWICE : ONE IN A MILL10N＞10th Anniversary Documentary Main Trailer,TWICE,103223,,67,13,0.7612,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gG3_yzSjwBs,モンストニュース[9/25]『アニメ〈物語〉シリーズ』超究極「忍野扇」降臨！や12周年期間限定クエスト、モンフリ追加情報など、まもなく12周年を迎えるモンストの最新情報をお届けします！【モンスト公式】,モンスト（モンスターストライク）公式,404842,,100,30,0.0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
KgzX98z_pNs,The Story of the Wind and I,Ado - Topic,112238,,27,7,0.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
83M147c4QrU,鈴木福 VS “最強”ヒグマ　映画『ヒグマ!!』予告編　『ミスミソウ』内藤瑛亮監督,シネマトゥデイ,15432,,41,9,0.0488,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8kMO7mg9vyU,TNTしかないネザーから脱出できるまで終われません！【マイクラ】,ドズル社,328547,,32,9,0.0938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7H1u7lUBqbA,Handz In My Pocket,JO1 - Topic,33622,,18,4,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ratk9GGGFDM,#5  さっくり進める SILENT HILL f ※ネタバレあり,あまり驚かないガッチマンはホラーゲームばかりやっている,56693,,33,9,0.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
svv0pOxzA9Q,"STUTS - 99 Steps feat. Kohjiya, Hana Hope / THE FIRST TAKE",THE FIRST TAKE,329281,,58,10,0.7069,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4GoBqeeOBz4,VALORANT Champions Paris — Playoffs Stage Day 11,VALORANT // JAPAN,302286,,48,7,0.7917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-3NRu9GB8zs,TREASURE - ‘NOW FOREVER’ DANCE PERFORMANCE VIDEO,TREASURE (트레저),786306,,48,6,0.8125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DShOfmHKIq4,【#ホロライブ甲子園2025】桜咲高校２年目夏‼⚾負けるな！夏大会へ挑むにぇ～！！！！！！【ホロライブ/さくらみこ】,Miko Ch. さくらみこ,516683,,58,13,0.0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LSTz4tRLRzE,GADORO - もういちど feat. 紅桜 (Pro. DJ SHINODA),GADORO,76509,,41,7,0.5366,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5Yn0EdTQafQ,なぜかチンパンジーがいる労働環境で穴掘り作業をすることになったらっだぁ運営【Keep Digging】,らっだぁ,245293,,51,12,0.2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KKcp_l0_YJI,Period of Blue 1990 (Music Video),浜田省吾 Official YouTube Channel,12456,,33,6,0.6667,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
qMKgxZ3mmQ0,お友達はもっとデカい熊倒してんだからさ【龍が如く８外伝 Pirates in Hawaii】＃５,牛沢,211967,,48,15,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z7vqDEQWy-s,Never Been 2 Heaven,BOYS II PLANET - Topic,22880,,19,4,0.7895,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
YXvCtuOCAdA,ｙｔｒが今になって神台と気がついた結果【SEVEN'S TV #1406】,SEVEN’S TV,237440,,37,12,0.2162,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UqAX0WQas7I,「カルテNo.2222」MV/きゅるりんってしてみて,きゅるりんってしてみて,142751,,26,5,0.1538,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
qCBu5sWh-XA,2025OB第一弾きたぞぉぉぉぉ！！清原に赤星やマシソンと豪華メンバーがきたのでコンプリートするぞ！？【プロスピA】# 1709,【V.I.P】,193471,,64,18,0.0469,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5RSQywFDK6Q,素人へ,粗品 Official Channel,501715,,3,2,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0N9d5AWijRI,寝坊する神楽めあを起こすために誰が連絡先を交換するかで押し付け合うSHAKA達【League of Legends】,SHAKAch,179009,,58,23,0.3448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1bwsFPo7OEI,Tamamono (Orchestra Version),RADWIMPS - Topic,5756,,28,3,0.8571,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
G7impx4fC04,新番組【世のポンコツ達に勇気を与える新番組】ポンコツ珍道中 第1回 前編《まりも・ガット石神・いち花》スマスロ デビル メイ クライ5 スタイリッシュトライブ［パチスロ・スロット］,【公式】DMMぱちタウンch,145773,,97,43,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jIyrJKv6I_g,チェンソーマン(Chainsaw Man)- ' IRIS OUT / 米津玄師 ' COVER by ココル原人 ｜ Cocolu Genjin,タイココちゃんねる,65743,,73,12,0.5068,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YlPjwAgpiHc,【複数視点】MVPをとった葛葉の繊細なプレーに気づくライバーたち&初DC勝利の反応【切り抜き/天宮こころ/ひなーの/あすみ/らむね/LTK/ゆうひ】,ホニッキ【切り抜き】,74273,,74,31,0.1081,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kxhw5LEB74M,【号泣】スピッツさんご本人の目の前で思い入れのある「楓」を演奏したら観客も本人も涙が止まらなかった...【ロックロックこんにちは/spitz/ストリートピアノ】,ハラミちゃん〈harami_piano〉,74383,,80,29,0.0625,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IY0RH_MIWlw,加藤純一のWWE 2K25 ダイジェスト【2025/09/21】,加藤純一ロードショー,165558,,32,10,0.125,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tHScz3d1sSI,"에스쿱스X민규 (SEVENTEEN) '5, 4, 3 (Pretty woman) (feat. Lay Bankz)' Official Teaser 1",HYBE LABELS,169879,,80,13,0.5875,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
U1KhhyV6l7o,【ジョジョの奇妙な冒険 オラオラオーバードライブ】もしかして「オラドラ」ですかーッ!? 新作ジョジョゲーを遊ぶッ!【PR】,マフィア梶田と中村悠一の「わしゃがなTV」,169848,,61,17,0.0328,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
QcuV8h_I1y0,Corbyn Besson & TZUYU (of TWICE) - Blink (Official Music Video),Corbyn Besson,100758,,63,9,0.746,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
kkmD_z07V5Y,【マイクラ】あんな虫やこんな虫も！？虫がたくさんの世界に飛び込め！ #1【むしむしクラフト】,まじめにヤバシティ,120485,,46,17,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EHrW-PIkc8k,Alter ego,Sakurazaka46 - Topic,20480,,9,2,0.8889,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o6KzpLVBRHE,吾輩は猫である。名前はこごろう。,葉ちゅべ,117758,,16,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z2Pius2PsRQ,Rosehip tea,Yuika - Topic,14741,,11,2,0.9091,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BuxxU6ZJzzg,【 SILENT HILL f 】２周目！真エンド目指して！シリーズ初の日本を舞台とした完全新作！王覇山、狂気の先へ。（ 美しいがゆえにおぞましい。 ）【 にじさんじ┊︎葉山舞鈴┊︎※ネタバレ注意 】,葉山舞鈴 / Ohayama Ch.,113118,,100,27,0.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CMOGOT0o4wE,少年忍者【PSYCHO(Kis-My-Ft2)】LIVE 2025 This is 忍者,ジュニアCHANNEL,127539,,44,11,0.5227,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AwJLKJGMQJE,オワ練でどぐらさんのミュート中に悪口を言うも全部筒抜けでブチギレられる立川【どぐら/かずのこ/ボンちゃん/シュート】【立川/CR/スト6】,立川ちゃんねる,91205,,69,24,0.029,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ufwB9Uja_wM,Hearts2Hearts 하츠투하츠 'Pretty Please' MV,SMTOWN,4105500,,38,6,0.6842,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
4Ei4aXhAZR8,【緊急】シャドバビヨンド初能力調整きたぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！！！！【Shadowverse: Worlds Beyond】,つるおかかものはし,45527,,71,7,0.3239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zZXdwy41Mvs,【KAWAII FOCUS】CUTIE STREET『かわいいさがしてくれますか？』 -MV edition-,CUTIE STREET,129903,,55,7,0.5636,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ba4w51eEmrk,【PR】おまけ動画575「今後の実装に期待したいキャラ」【わしゃがなTV】,4GamerSP,63482,,37,13,0.1081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vpciL-AwPCY,パラノイドランデブー (Short ver.),Genin Wa Jibun Ni Aru. - Topic,7410,,23,3,0.3478,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
bA8HYWRGKLQ,???「アルセウスは初手りゅうまいや」【ポケモンSV実況】,もこうの実況,125578,,29,7,0.069,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z_Y3IwdKXuk,アイデンティティ / 天道 サン＆一 月一〈Cover〉,一 月一 / Ninomae Tsukihi / 八九百Project,33133,,28,6,0.1786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
p91ez1Fwo9A,【LTKスクリム】まとまりがないチームに本音を打ち明けるおぼ【らいじん/切り抜き/LoL/まざー3トナカイト/白波らむね/obo/天月/LoL解説】,とろ【公認らいじん切り抜き】,83948,,74,27,0.1622,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h6F4D5HObks,Da-iCE /「Tasty Beating Sound」Official Dance Practice,Da-iCE,119130,,52,8,0.8269,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
