語句,平均再生回数
また消えた黒人の末路,8967448
こたつ,3454964
身内に逸材がいましたwwww,2214052
解散したグループyoutuberがリーダーを除いた他3人でグループ再結成した件について,1824391
その理由が過去一でやばい,1329685
フォーエイト,1242101
誰か止めてあげて,1200223
神回,956000
blの一番上じゃんこんなん,792516
視聴者が教えてくれたスカイピースの動画が過去一の共感性羞恥すぎた件について,792516
48が東海オンエアとのコラボ企画でルール違反をして大炎上してる件について,759514
共感性羞恥,700101
を見てビビったら即帰宅やってみた,665444
を真面目に歌ったので見てみようw,644785
こたつはいつでもこたつだった件について,615791
はじめしゃちょー情報漏洩,540033
あみか日本一,540033
スカイピース,515668
てんちむ控訴,505959
48こたつとパチンコノリ打ちしたら神回になった,503375
わかvaの優しい一言が素晴らしい,497733
りゅうたドスがyoutube史上最速でオワコンになった件について,490449
youtuberのフリースタイルバトルに何の意味があるんww,486955
が解散の危機,479479
そりゃそうなるよな,479479
48のこたつが過去一イキってる動画を見たらとんでもなかったww,466427
bang,464831
born,464831
bling,464831
すみませんでした,459459
とイキってくるこたつは本当にスマブラ強いの,440419
youtuberスマブラ大会初見リアクション,440419
共感性羞恥感じたら即帰宅,436342
遂に直接対決,408529
かけまる結局どっちが悪いん,408529
shorts,395415
かけまるなーちゃん本音を吐露,388772
みんなも気をつけよう,388772
すするtv炎上,388772
あきら君がジョージにひたすらボコられる動画が厳しすぎた,386019
いつも見てくださる方々へ近況報告,372418
お待たせしました,372195
あやなんセカパとのカップルch始動,372195
みそきん新作発売,372195
youtube界色々起きている間にセイキンさんが天下を取りそうな件について,336380
よーいドン,332420
で全員同時に始めたらyoutube界の勢力図丸っきり変わるんじゃね,332420
48タロー社長頭割れる,328062
見出し強いの多いって,328062
賛否ブームでステパン無職疑惑,327511
適当に喋ります,327511
はんじょう炎上,327511
賛否,327511
youtuber愛車クイズ,321502
をやってたらメンバーのとんでもない嘘が捲れました,321502
このyoutuber何乗ってる,321502
ご報告,316251
をガチ推理したら結末を当てられるの,313210
いだちゃんねるこばがポーカー大会優勝,304589
はじめしゃちょーパチンコ動画で金銭感覚のズレ指摘される,304589
まる不仲の元凶だった件について,286020
が過去一すぎた,284877
48フォーエイトが歌う,284877
配達員時代に巻き込まれた事故の話,284662
そんなことある,284662
これが本当の終わった人,282811
超えの北海道なら完売必至の新みそきん余裕で買える説,258561
遂にenn様が帰ってきた,254630
しかもオリジナルソング歌ってみたで完全復活,254630
あきら君とホラーを見るつもりが太田さんが大暴走,220039
このアンチコメどのyoutuberのアンチコメ,219421
とあるキャバ嬢が贈与税25億円未払い説,211599
速報,208655
48アマリザとあみかの告白再現ドラマで絶望する非リア達,174775
これはだれが見るの,172895
遂に推しのカップルチャンネルに認知されたがまさかの発言に驚愕,169644
ado,165792
すいません,161817
コムドット,150957
48フォーエイトの,133333
視聴者の皆様へご報告,130320
酒豪チャレンジ,127052
あきら君の,114215
してまうよ,114215
あきら総長秘伝奥義,113908
あきら君,113908
がやばすぎる,113908
過激派エスポファンのおかげでお金が稼げました,110279
あきら総長vsメンズコーチジョージ,105490
48フォーエイト,102674
この動画に,97168
えた,97168
という女の霊の声が入りました,97168
お酒を飲んじゃダメなタイプの人間,95390
あきらをプロデュース,89269
48のenn様率いるベビタピの愉快な仲間達のリレーダンスで逸材発掘しました,64791
って言ったら即すずめの戸締り企画会議やったら面白すぎたwwwwww,41353
50万人重大発表ライブ,26692
やめます,25226
1敗退,23209
